Contract ID,Project ID,Project Title,Contract No,Procurement Group,Country,No Objection Date,Team Leader,Procurement Method,Borrower Contract Reference,Signing Date,Total Contract Amount,Review Type
1880386,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880386,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 5, 2026",1558.78,Post
1880387,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880387,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 5, 2026",5189.19,Post
1880388,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880388,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 5, 2026",1073.16,Post
1880389,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880389,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 5, 2026",1130.98,Post
1880390,P162637,Rural Water Supply and Sanitation Project,1880390,Goods,Tajikistan,"April 13, 2026",Aroha Bahuguna,Request for Quotations,RWSSP-G-026-1 (Lots 1 & 2),"March 19, 2026",28539.72,Post
1880391,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880391,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 5, 2026",5204.97,Post
1880392,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880392,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483120-GO-RFQ,"May 20, 2025",1998.53,Post
1880393,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880393,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483120-GO-RFQ,"May 20, 2025",2015.1,Post
1880394,P149323,Social Safety Net Project,1880394,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",13253.59,Post
1880395,P171056,Support for Resilient Livelihoods in the South of Madagascar - MIONJO Project,1880395,Consultant Services,Madagascar,"April 13, 2026",Joanna Peace De Berry,Quality And Cost-Based Selection,MG-MIONJO-474142-CS-QCBS,"March 26, 2026",158271.93,Post
1880396,P176758,NATIONAL AGRICULTURAL VALUE CHAIN DEVELOPMENT PROJECT (NAVCDP),1880396,Consultant Services,Kenya,"April 13, 2026",Ghada Elabed,Individual Consultant Selection,KE-MOALF-517117-CS-INDV,"April 2, 2026",4876.16,Post
1880397,P149323,Social Safety Net Project,1880397,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880398,P149323,Social Safety Net Project,1880398,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880399,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880399,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486506-CW-RFQ","August 14, 2025",15787.26,Post
1880401,P149323,Social Safety Net Project,1880401,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",13253.59,Post
1880402,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880402,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486506-CW-RFQ","August 14, 2025",15783.38,Post
1880403,P149323,Social Safety Net Project,1880403,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880400,P149323,Social Safety Net Project,1880400,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880404,P149323,Social Safety Net Project,1880404,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880405,P176181,Eastern Africa Regional Digital Integration Project,1880405,Consultant Services,Kenya,"April 13, 2026",Naomi J. Halewood,Consultant Qualification Selection,SS-MICT&PS-527826-CS-CQS,"April 9, 2026",299250.0,Prior
1880406,P149323,Social Safety Net Project,1880406,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880407,P149323,Social Safety Net Project,1880407,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",13253.59,Post
1880408,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880408,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486506-CW-RFQ","August 11, 2025",15813.22,Post
1880410,P175731,SADC Regional Statistics Project,1880410,Non-consulting Services,Mozambique,"April 13, 2026",Maria Gabriela Farfan Betran,Request for Quotations,MZ-INE-436021-NC-RFQ,"January 7, 2026",13627.14,Post
1880409,P149323,Social Safety Net Project,1880409,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880411,P149323,Social Safety Net Project,1880411,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880412,P172657,Improving Learning and Empowering Girls in Mozambique,1880412,Works,Mozambique,"April 13, 2026",Lucia Jose Nhampossa,Request for Bids,3/W/RFB/ILEGP/24,"October 24, 2025",3446150.98,Prior
1880413,P149323,Social Safety Net Project,1880413,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",13253.59,Post
1880414,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880414,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486506-CW-RFQ","August 18, 2025",10512.21,Post
1880415,P149323,Social Safety Net Project,1880415,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880416,P149323,Social Safety Net Project,1880416,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880418,P162637,Rural Water Supply and Sanitation Project,1880418,Goods,Tajikistan,"April 13, 2026",Aroha Bahuguna,Request for Quotations,RWSSP-G-026-1 (Lots 1 & 2),"March 19, 2026",49704.37,Post
1880420,P149323,Social Safety Net Project,1880420,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",12922.25,Post
1880422,P166013,Comprehensive Approach to Health System Strengthening,1880422,Consultant Services,Netherlands,"April 13, 2026",Cedric Ndizeye,Direct Selection,KM-UGP SN-535170-CS-CDS,"April 2, 2026",581075.0,Post
1880421,P149323,Social Safety Net Project,1880421,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880423,P178954,Water and Sanitation Project - I,1880423,Goods,Malawi,"April 13, 2026",Ivaylo Hristov Kolev,Request for Quotations,MW-BWB-505566-GO-RFQ,"March 4, 2026",56435.66,Post
1880424,P178954,Water and Sanitation Project - I,1880424,Goods,Malawi,"April 13, 2026",Ivaylo Hristov Kolev,Request for Quotations,MW-BWB-505566-GO-RFQ,"March 4, 2026",42963.41,Post
1880427,P149323,Social Safety Net Project,1880427,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",12127.03,Post
1880425,P149323,Social Safety Net Project,1880425,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880426,P174066,Beneficiary FIRST Social Protection Project,1880426,Consultant Services,Philippines,"April 13, 2026",Ruth Rodriguez,Direct Selection,PH-DSWD-529019-CS-CDS,"February 13, 2026",9174.54,Post
1880428,P149323,Social Safety Net Project,1880428,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880429,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880429,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486506-CW-RFQ","August 14, 2025",10505.06,Post
1880431,P149323,Social Safety Net Project,1880431,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880430,P172707,National Health Insurance (JKN) Reforms and Results Program,1880430,Consultant Services,Indonesia,"April 13, 2026",Eko Setyo Pambudi,Direct Selection,ID-CPMU I-HSS-521741-CS-CDS,"October 2, 2025",1448.22,Post
1880432,P177816,Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP,1880432,Consultant Services,"Somalia, Federal Republic of","April 13, 2026",Benjamin Billard,Consultant Qualification Selection,SO-MOAD-SL-496283-CS-CQS,"March 11, 2026",130478.01,Prior
1880435,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880435,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486506-CW-RFQ","August 18, 2025",8614.01,Post
1880433,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880433,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483214-GO-RFQ,"December 6, 2024",6533.66,Post
1880434,P149323,Social Safety Net Project,1880434,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880436,P149323,Social Safety Net Project,1880436,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",13253.59,Post
1880437,P178985,Bangladesh Resilient Urban and Territorial Development Project,1880437,Works,Bangladesh,"April 13, 2026",Kwabena Amankwah-Ayeh,Request for Bids,RUTDP/GUR/2024-25/W-01,"January 5, 2026",958452.35,Post
1880438,P149323,Social Safety Net Project,1880438,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880443,P149323,Social Safety Net Project,1880443,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880442,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880442,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486506-CW-RFQ","August 12, 2025",10513.15,Post
1880441,P504532,"Democratic Republic of Congo Health Emergency Preparedness, Response, and Resilience Project",1880441,Goods,"Congo, Democratic Republic of","April 13, 2026",Adama Traore,Direct Selection,ZR-DRC-MSP-522386-GO-DIR,"February 11, 2026",1320859.59,Post
1880444,P149323,Social Safety Net Project,1880444,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",12922.25,Post
1880445,P169265,Harmonizing and Improving Statistics in West Africa,1880445,Goods,Togo,"April 13, 2026",Aboudrahyme Savadogo,Direct Selection,TG-NISEDS-533526-GO-RFQ,"February 18, 2026",17028.12,Post
1880447,P161534,Climate-Smart Agriculture and Water Management Project,1880447,Works,Bangladesh,"April 13, 2026",Samina Yasmin,Request for Bids,CSAWMP-DOF-WD-01(C),"March 9, 2026",70632.41,Post
1880448,P175483,Djibouti Skills Development for Employment Project,1880448,Consultant Services,France,"April 13, 2026",Ryoko Tomita,Individual Consultant Selection,04/CO/PDCE/MT/ANEFIP/2026,"March 29, 2026",42954.16,Post
1880449,P501274,Host and Rohingya Enhancement of Lives Project,1880449,Consultant Services,Bangladesh,"April 13, 2026",Swarna Kazi,Individual Consultant Selection,HELP/SD-20B,"December 10, 2025",8815.63,Post
1880450,P174477,Madagascar National Water Project,1880450,Works,Madagascar,"April 13, 2026",Pierre Francois-Xavier Boulenger,Request for Bids,N°PAAEP 008/25-WJIR-T,"September 12, 2025",894903.16,Post
1880451,P508917,Palestinian Health System Reform Project,1880451,Goods,West Bank and Gaza,"April 13, 2026",Ramin Ziwary,Request for Bids,MOH-WB/PHSRP-G1,"April 7, 2026",794000.0,Post
1880452,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880452,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483212-GO-RFQ,"January 9, 2025",294.33,Post
1880453,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880453,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483212-GO-RFQ,"January 9, 2025",429.15,Post
1880454,P177816,Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP,1880454,Goods,Comoros,"April 13, 2026",Benjamin Billard,Request for Quotations,KM-FSRP KM-496177-GO-RFQ,"August 12, 2025",45682.5,Post
1880455,P501274,Host and Rohingya Enhancement of Lives Project,1880455,Consultant Services,Bangladesh,"April 13, 2026",Swarna Kazi,Individual Consultant Selection,HELP/SD-10,"December 14, 2025",75213.68,Post
1880456,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880456,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483212-GO-RFQ,"January 9, 2025",12.91,Post
1880457,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880457,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483212-GO-RFQ,"January 9, 2025",5594.28,Post
1880458,P174477,Madagascar National Water Project,1880458,Works,Madagascar,"April 13, 2026",Pierre Francois-Xavier Boulenger,Request for Bids,N°PAAEP 001/26-WJIR-T,"February 9, 2026",2024020.92,Post
1880459,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880459,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483212-GO-RFQ,"January 9, 2025",340.95,Post
1880461,P173197,Regional Sahel Pastoralism Support Project II,1880461,Works,Mauritania,"April 13, 2026",Franck Berthe,Request for Quotations,14/T/PRAPS II/2023,"November 24, 2023",75049.0,Post
1880463,P174477,Madagascar National Water Project,1880463,Works,Madagascar,"April 13, 2026",Pierre Francois-Xavier Boulenger,Request for Bids,N°PAAEP 002/26-WJIR-T,"February 9, 2026",988717.58,Post
1880460,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880460,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483212-GO-RFQ,"February 17, 2025",277.22,Post
1880462,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880462,Goods,Ethiopia,"April 13, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-483212-GO-RFQ,"February 17, 2025",1209.95,Post
1880464,P173197,Regional Sahel Pastoralism Support Project II,1880464,Works,Mauritania,"April 13, 2026",Franck Berthe,Request for Quotations,07/T/PRAPS II/2023,"October 20, 2023",46298.16,Post
1880466,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880466,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 13, 2026",1573.47,Post
1880465,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880465,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 13, 2026",2038.05,Post
1880467,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880467,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 13, 2026",1079.46,Post
1880468,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880468,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 13, 2026",1414.77,Post
1880470,P172674,"Togo, Improving Quality and Equity of Basic Education Project",1880470,Works,Togo,"April 13, 2026",Djiby Thiam,Request for Quotations,TG-PCU-PAQEEB-454099-CW-RFQ,"March 4, 2026",522189.29,Post
1880469,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880469,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 14, 2026",1033.21,Post
1880471,P167678,Gazetted Forests Management Project,1880471,Works,Benin,"April 13, 2026",Jean-Dominique Luc Marie Bescond,Request for Quotations,BJ-WACA -322980-CW-RFQ,"February 25, 2026",162777.99,Post
1880472,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880472,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 15, 2026",1466.52,Post
1880473,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880473,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 15, 2026",1537.73,Post
1880474,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880474,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","January 15, 2026",1641.79,Post
1880475,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880475,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","December 12, 2025",10508.37,Post
1880476,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880476,Works,India,"April 13, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, KANGRA-511301-CW-RFQ","December 12, 2025",5467.82,Post
1880477,P171305,Uganda Digital Acceleration Project - GovNet,1880477,Consultant Services,Uganda,"April 13, 2026",Paul Seaden,Consultant Qualification Selection,UG-NITA-U-519193-CS-CQS,"March 24, 2026",289917.58,Post
1880478,P175322,Maputo Metropolitan Area Urban Mobility Project,1880478,Consultant Services,Mozambique,"April 13, 2026",Emmanuel Taban,Individual Consultant Selection,86/CONS/MMAUMP/24,"March 20, 2026",70439.07,Prior
1880479,P167678,Gazetted Forests Management Project,1880479,Consultant Services,Benin,"April 13, 2026",Jean-Dominique Luc Marie Bescond,Direct Selection,BJ-WACA -536321-CS-CDS,"October 9, 2025",354999.67,Post
1880483,P163980,Marine Fisheries and Socio-Economic Development Project,1880483,Consultant Services,France,"April 13, 2026",Ben Okindo Ayako Miranga,Direct Selection,KE-MOMBEMA-C1-2024-042-CS-CDS-NEW,"February 23, 2026",50600.16,Post
1880481,P160865,Livestock Productivity and Resilience Support Project,1880481,Works,Nigeria,"April 13, 2026",Manievel Sene,Request for Quotations,NG-ONDO L-PRES-509786-CW-RFQ,"April 7, 2026",213039.28,Post
1880482,P164293,Burkina Faso Higher Education Support Project,1880482,Works,Burkina Faso,"April 13, 2026",Amina Debissa Denboba,Request for Bids,BF-PAES-382564-CW-RFB,"February 7, 2024",937431.83,Post
1880480,P175834,Stabilization and Recovery in Eastern DRC,1880480,Consultant Services,"Congo, Democratic Republic of","April 13, 2026",Daniel P. Owen,Quality And Cost-Based Selection,ZR-STAR EST-414818-CS-QCBS,"March 23, 2026",788993.0,Prior
1880484,P176898,Somalia Empowering Women through Education and Skills Project - 'Rajo Kaaba',1880484,Consultant Services,"Somalia, Federal Republic of","April 13, 2026",Harisoa Danielle Rasolonjatovo Andriamihamina,Quality And Cost-Based Selection,SO-MOECHE-422045-CS-QCBS,"March 3, 2026",2661900.12,Prior
1880485,P175237,Agro-Climatic Resilience in Semi-Arid Landscapes (ACReSAL),1880485,Works,Nigeria,"April 13, 2026",Iganya Joy Agene,Request for Quotations,NG-KWARA STATE ACRESAL-508268-CW-RFQ,"February 19, 2025",269248.14,Post
1880486,P167328,Water and Sanitation Sectoral Project,1880486,Consultant Services,Mauritania,"April 13, 2026",Mohamed Nanzoul,Consultant Qualification Selection,22/PI/PSEA/2022,"August 23, 2023",112669.22,Post
1880487,P149323,Social Safety Net Project,1880487,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880489,P175298,Investing in Inclusive Human Capital Development in Northern Mozambique Project,1880489,Works,Mozambique,"April 13, 2026",Joao Verissimo Figueiredo Rodrigues E Pires,Request for Bids,03-SPS-WB-2026,"January 12, 2026",353916.8,Post
1880488,P175298,Investing in Inclusive Human Capital Development in Northern Mozambique Project,1880488,Works,Mozambique,"April 13, 2026",Joao Verissimo Figueiredo Rodrigues E Pires,Request for Bids,02-CP-SPS-WB-2026,"January 9, 2026",402251.8,Post
1880491,P175298,Investing in Inclusive Human Capital Development in Northern Mozambique Project,1880491,Works,Mozambique,"April 13, 2026",Joao Verissimo Figueiredo Rodrigues E Pires,Request for Bids,04-CP-SPS-WB-2026,"January 9, 2026",920303.06,Post
1880490,P175298,Investing in Inclusive Human Capital Development in Northern Mozambique Project,1880490,Works,Mozambique,"April 13, 2026",Joao Verissimo Figueiredo Rodrigues E Pires,Request for Bids,01-CP-SPS-WB-2026,"January 12, 2026",808937.0,Post
1880493,P149323,Social Safety Net Project,1880493,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880494,P167820,Energy Utility Performance and Reliability Improvement Project,1880494,Non-consulting Services,Papua New Guinea,"April 13, 2026",Dmytro Glazkov,Direct Selection,PG-PPL-539369-NC-DIR,"April 6, 2026",10397.86,Post
1880495,P178831,Tajikistan Millati Solim Project,1880495,Consultant Services,Panama,"April 13, 2026",Takahiro Hasumi,Direct Selection,MOHSP/TMSP/DS/025/001,"July 15, 2025",535076.47,Post
1880496,P174684,Economic Transformation for Inclusive Growth Project,1880496,Goods,Madagascar,"April 13, 2026",Sagita Muco,Request for Quotations,055/F/PIC3/2026,"March 24, 2026",46406.59,Post
1880498,P167678,Gazetted Forests Management Project,1880498,Consultant Services,Benin,"April 13, 2026",Jean-Dominique Luc Marie Bescond,Direct Selection,BJ-WACA -536326-CS-CDS,"August 31, 2025",357019.76,Post
1880497,P178831,Tajikistan Millati Solim Project,1880497,Consultant Services,Tajikistan,"April 13, 2026",Takahiro Hasumi,Direct Selection,MOHSP/TMSP/ICS/026/001-2,"March 12, 2026",12000.0,Post
1880501,P167678,Gazetted Forests Management Project,1880501,Consultant Services,Benin,"April 13, 2026",Jean-Dominique Luc Marie Bescond,Direct Selection,BJ-WACA -536330-CS-CDS,"June 23, 2025",355134.69,Post
1880503,P144271,Forest Conservation and Sustainability in the Heart of the Colombian Amazon,1880503,Goods,Colombia,"April 13, 2026",Ana Maria Gonzalez Velosa,Request for Quotations,GEFII-CA-CCOM-010-2026,"March 19, 2026",79077.85,Post
1880500,P178831,Tajikistan Millati Solim Project,1880500,Consultant Services,Tajikistan,"April 13, 2026",Takahiro Hasumi,Consultant Qualification Selection,MOHSP/TMSP/CQS/025/011,"March 10, 2026",61559.18,Post
1880502,P176126,Ghana Digital Acceleration Project,1880502,Consultant Services,Ghana,"April 13, 2026",Stephen R. Davenport,Direct Selection,GH-MOCDTI-522684-CS-CDS,"March 31, 2026",300013.63,Post
1880504,P172800,Cote d'Ivoire Youth Employment and Skills Development Project - Phase 3,1880504,Non-consulting Services,Cote d'Ivoire,"April 13, 2026",Ali Coulibaly,Request for Quotations,CI-BCP-EMPLOI-300777-NC-RFQ,"June 29, 2023",24682.14,Post
1880505,P172425,Competitive Value Chains for Jobs and Economic Transformation Project,1880505,Goods,Cote d'Ivoire,"April 13, 2026",Adja Mansora Dahourou,Request for Quotations,CI-UC - PCCET-536373-GO-RFQ,"March 23, 2026",42953.46,Post
1880506,P149323,Social Safety Net Project,1880506,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880507,P180076,"Lowlands Livelihood Resilience Project, Phase Two (LLRP II)",1880507,Works,Ethiopia,"April 13, 2026",Esayas Nigatu Gebremeskel,Request for Quotations,ET-GAM-RPCU-537577-CW-RFQ,"March 13, 2026",7561.36,Post
1880509,P167328,Water and Sanitation Sectoral Project,1880509,Consultant Services,Mauritania,"April 13, 2026",Mohamed Nanzoul,Consultant Qualification Selection,22/PI/PSEA/2022,"August 23, 2023",103015.75,Post
1880508,P149323,Social Safety Net Project,1880508,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",12922.25,Post
1880510,P172605,Salvador Social Multi-Sector Service Delivery Project II,1880510,Goods,Brazil,"April 13, 2026",Rovane Battaglin Schwengber,Request for Bids,BR-CASA CIVIL-492455-GO-RFB,"March 4, 2026",13165.41,Post
1880511,P149323,Social Safety Net Project,1880511,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",13253.59,Post
1880512,P172605,Salvador Social Multi-Sector Service Delivery Project II,1880512,Goods,Brazil,"April 13, 2026",Rovane Battaglin Schwengber,Request for Bids,BR-CASA CIVIL-492455-GO-RFB,"March 6, 2026",42929.37,Post
1880514,P149323,Social Safety Net Project,1880514,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",3132.67,Post
1880513,P149323,Social Safety Net Project,1880513,Consultant Services,Madagascar,"April 13, 2026",John Van Dyck,Individual Consultant Selection,DRP_21013_SCI_AS_FA2_FA3,"June 16, 2022",13253.59,Post
1880515,P179447,Nigeria for Women Program Scale Up Project,1880515,Goods,Nigeria,"April 13, 2026",Michael Gboyega Ilesanmi,Request for Quotations,NG-TARABA NFWP-SU-520966-GO-RFQ,"November 28, 2025",13831.87,Post
